ID,TruncatedID,Mean,SD,AUC,Peak,MaxIndex,Halfpk,Skew,HHMean,Fat,Carb,Protein
2133-022_CF2,2133-022,105.70270270270271,22.18107301281884,1144950.0,152,15,185,1.0397603759693428,101.28571428571428,2.5,54,11
2133-011_Bar2,2133-011,100.86486486486488,15.099668870541501,1093350.0,135,17,185,0.6369539109008234,100.42857142857143,18.0,48,9
2133-033_CF1,2133-033,92.37837837837836,20.54263858417414,1001700.0,141,15,145,0.6157842773921197,93.85714285714286,2.5,54,11
2133-021_Bar1,2133-021,131.59459459459458,42.05948168962618,1427400.0,218,19,120,0.3923024415412077,135.71428571428572,18.0,48,9
2133-012_Bar2,2133-012,98.89189189189187,18.734993995195197,1068600.0,133,15,185,0.5556640658575717,90.14285714285714,18.0,48,9
2133-036_Bar2,2133-036,122.91891891891892,21.30727575266252,1335150.0,162,23,185,0.4269933450589226,109.71428571428572,18.0,48,9
2133-012_PB1,2133-012,90.70270270270271,9.0,980250.0,111,31,185,0.8239824355955581,99.71428571428572,20.0,51,18
2133-030_CF1,2133-030,88.63636363636364,14.866068747318506,851250.0,120,7,165,1.0189760607751008,75.0,2.5,54,11
2133-008_Bar2,2133-008,96.2,18.547236990991408,984300.0,135,17,145,0.7298496920410945,84.85714285714286,18.0,48,9
2133-039_PB2,2133-039,107.45945945945944,13.674794331177347,1153200.0,155,36,185,2.5421399784355425,127.14285714285714,20.0,51,18
2133-035_CF2,2133-035,82.62162162162163,11.401754250991381,892050.0,104,23,185,0.3983578335756226,91.57142857142857,2.5,54,11
2133-040_Bar1,2133-040,91.67567567567568,6.0,991650.0,106,12,185,0.3410514174732521,92.28571428571428,18.0,48,9
2133-030_Bar2,2133-030,78.02702702702703,13.152946437965904,839250.0,100,36,55,-1.0611931316601828,91.28571428571428,18.0,48,9
2133-019_Bar1,2133-019,104.94594594594595,16.522711641858304,1136550.0,138,16,185,0.5965411044343483,86.0,18.0,48,9
2133-004_Bar1,2133-004,145.8918918918919,31.68595903550972,1585200.0,201,17,185,0.5053662205317767,110.28571428571428,18.0,48,9
2133-004_PB2,2133-004,126.97297297297294,10.723805294763608,1372350.0,143,26,185,-0.10681790516425192,120.71428571428572,20.0,51,18
2133-037_PB2,2133-037,89.1081081081081,4.898979485566356,963000.0,99,16,185,0.6388738600588916,85.85714285714286,20.0,51,18
2133-041_Bar2,2133-041,81.13513513513513,16.340134638368188,878550.0,118,12,185,1.0269606053806255,78.28571428571429,18.0,48,9
2133-032_Bar2,2133-032,77.97297297297297,10.583005244258363,842100.0,104,13,185,1.096310395453119,72.14285714285714,18.0,48,9
2133-018_PB1,2133-018,154.05405405405406,37.868192457522966,1671450.0,201,22,185,-0.2824186480745068,167.28571428571428,20.0,51,18
2133-035_CF1,2133-035,120.71428571428572,19.157244060668017,724200.0,156,17,105,0.7250513753892468,145.28571428571428,2.5,54,11
2133-028_PB1,2133-028,64.18918918918921,5.744562646538029,693900.0,79,13,185,0.2416037021725599,70.0,20.0,51,18
2133-017_CF2,2133-017,123.16216216216215,22.203603311174522,1330500.0,153,24,185,-0.09873521571000148,139.71428571428572,2.5,54,11
2133-008_CF2,2133-008,74.05405405405405,14.730919862656233,799500.0,106,13,185,0.6260748283772128,68.42857142857143,2.5,54,11
2133-013_PB1,2133-013,98.89189189189187,4.358898943540674,1068600.0,106,30,185,-0.1848680399734528,102.14285714285714,20.0,51,18
2133-039_Bar2,2133-039,112.18918918918921,21.95449840010015,1213950.0,142,28,185,-0.4241032458157521,125.71428571428572,18.0,48,9
2133-009_CF1,2133-009,123.2162162162162,27.982137159266443,1335450.0,166,18,145,0.07894326624392027,123.28571428571428,2.5,54,11
2133-035_PB1,2133-035,89.91891891891892,10.95445115010332,975450.0,108,11,185,0.12792320166763352,82.14285714285714,20.0,51,18
2133-012_CF2,2133-012,84.35135135135134,11.04536101718726,912750.0,113,13,185,1.6004421879744948,77.85714285714286,2.5,54,11
2133-006_Bar1,2133-006,74.0,7.280109889280517,799650.0,90,15,185,0.7892846784645604,71.42857142857143,18.0,48,9
2133-025_CF1,2133-025,101.94594594594595,38.28837943815329,1109400.0,175,17,95,0.6542968168025559,59.28571428571429,2.5,54,11
2133-026_CF2,2133-026,93.89189189189187,22.18107301281884,1020450.0,135,19,150,0.3748351908250002,76.57142857142857,2.5,54,11
2133-041_PB1,2133-041,137.70270270270268,16.583123951777,1490700.0,172,15,185,0.7382311583165821,119.71428571428572,20.0,51,18
2133-009_CF2,2133-009,90.81081081081079,14.2828568570857,982200.0,121,15,185,0.495413860189928,85.71428571428571,2.5,54,11
2133-015_CF1,2133-015,147.32432432432432,34.205262752974136,1602000.0,200,20,185,0.3475230354601495,109.0,2.5,54,11
2133-010_PB1,2133-010,97.24324324324324,11.180339887498945,1048050.0,124,36,185,0.8455506049253048,105.14285714285714,20.0,51,18
2133-035_Bar1,2133-035,100.5135135135135,10.816653826391967,1086600.0,117,29,185,0.1191980209812909,111.42857142857143,18.0,48,9
2133-009_PB1,2133-009,93.62857142857143,8.426149773176359,954000.0,106,22,175,-0.29027877280511105,95.28571428571428,20.0,51,18
2133-009_PB2,2133-009,82.89189189189189,9.38083151964686,894300.0,96,18,185,-0.39525519468067016,89.42857142857143,20.0,51,18
2133-008_PB1,2133-008,84.10810810810811,8.306623862918075,907050.0,106,36,185,1.1661987278153254,99.28571428571428,20.0,51,18
2133-018_Bar1,2133-018,155.36111111111111,30.315012782448235,1638900.0,198,21,180,-0.2915228522953389,149.0,18.0,48,9
2133-017_CF1,2133-017,129.52941176470586,23.49468024894146,1284600.0,151,14,170,-0.7099062882055678,143.85714285714286,2.5,54,11
2133-022_CF1,2133-022,107.89189189189187,24.413111231467404,1169850.0,150,17,185,0.4180657052358189,99.0,2.5,54,11
2133-006_Bar2,2133-006,70.51351351351352,11.874342087037913,762600.0,100,17,185,1.6109406393609018,69.42857142857143,18.0,48,9
2133-024_CF1,2133-024,105.2162162162162,26.019223662515373,1143300.0,156,18,165,0.7424456980491903,80.71428571428571,2.5,54,11
2133-037_Bar1,2133-037,92.56756756756756,14.142135623730953,1001250.0,121,18,185,0.8273373697773997,81.14285714285714,18.0,48,9
2133-015_PB2,2133-015,123.75675675675676,13.674794331177347,1341300.0,157,15,185,0.22223840181335186,105.28571428571428,20.0,51,18
2133-025_Bar1,2133-025,84.48648648648648,20.0,912750.0,126,14,115,0.6395914959303696,77.42857142857143,18.0,48,9
2133-001_PB1,2133-001,81.08108108108108,3.741657386773941,876450.0,92,11,185,0.4665683046164829,77.0,20.0,51,18
2133-035_PB2,2133-035,95.4864864864865,3.0,1031100.0,101,20,185,-0.11647870098423485,93.0,20.0,51,18
2133-036_PB2,2133-036,113.52777777777777,12.727922061357855,1195950.0,135,20,180,0.3483066372135846,104.71428571428572,20.0,51,18
2133-006_PB2,2133-006,77.18918918918921,7.549834435270751,832650.0,91,13,185,0.0745098304241078,80.85714285714286,20.0,51,18
2133-025_PB2,2133-025,102.89189189189187,20.54263858417414,1117050.0,137,15,185,0.4595046968618858,86.85714285714286,20.0,51,18
2133-036_CF2,2133-036,130.67567567567568,27.65863337187866,1424550.0,172,17,180,-0.015569079066128956,107.57142857142857,2.5,54,11
2133-001_CF2,2133-001,116.4864864864865,17.944358444926365,1259100.0,168,13,185,0.8655939637827645,98.14285714285714,2.5,54,11
2133-009_Bar2,2133-009,135.86486486486487,26.47640458974745,1475400.0,174,14,185,-0.4786313139989221,134.85714285714286,18.0,48,9
2133-004_CF1,2133-004,175.35135135135135,36.41428291206625,1899450.0,224,22,185,-0.1839370015494413,196.14285714285717,2.5,54,11
2133-036_CF1,2133-036,121.65714285714287,27.331300737432894,1252500.0,154,17,160,-0.4204579319129875,88.85714285714286,2.5,54,11
2133-041_CF2,2133-041,133.8918918918919,27.784887978899608,1451700.0,186,16,165,0.3980160228494977,101.0,2.5,54,11
2133-033_CF2,2133-033,84.94594594594595,17.406895185529212,922500.0,121,15,185,0.906033459050786,71.42857142857143,2.5,54,11
2133-030_PB2,2133-030,91.18918918918921,2.449489742783178,984900.0,96,4,185,-0.1893499151746424,88.57142857142857,20.0,51,18
2133-037_PB1,2133-037,102.0,10.0,1102650.0,122,14,185,0.08216271923247627,96.42857142857143,20.0,51,18
2133-011_CF2,2133-011,103.0,22.64950330581225,1116750.0,149,14,145,0.9535521902585944,85.57142857142857,2.5,54,11
2133-012_CF1,2133-012,91.3,10.535653752852738,795150.0,115,14,150,1.152250348727781,86.2857142857143,2.5,54,11
2133-036_Bar1,2133-036,113.29729729729729,17.606816861659013,1229250.0,138,21,185,-0.0798410624035381,108.85714285714286,18.0,48,9
2133-013_CF2,2133-013,90.43243243243244,18.439088914585774,981150.0,121,19,160,-0.40642600356827696,59.57142857142857,2.5,54,11
2133-040_PB1,2133-040,92.24324324324324,6.2449979983983965,996750.0,106,13,185,0.3891284408127696,94.28571428571428,20.0,51,18
2133-021_Bar2,2133-021,139.1081081081081,30.51229260478471,1507200.0,186,21,185,0.18405425951406887,118.0,18.0,48,9
2133-010_Bar1,2133-010,90.83783783783785,13.711309200802088,980850.0,121,15,185,0.7399535030046287,87.0,18.0,48,9
2133-028_Bar2,2133-028,78.86486486486487,14.422205101855955,855300.0,106,18,185,0.7997169409610139,64.14285714285714,18.0,48,9
2133-020_Bar2,2133-020,79.94594594594595,16.3707055437449,864750.0,117,19,155,0.7901031274995592,72.85714285714286,18.0,48,9
2133-024_PB1,2133-024,88.97297297297297,13.96424004376894,964650.0,114,19,185,0.2469522764198734,83.42857142857143,20.0,51,18
2133-026_PB1,2133-026,95.86486486486488,10.44030650891055,1037400.0,119,13,185,0.601625639549467,99.28571428571428,20.0,51,18
2133-035_Bar2,2133-035,82.75675675675676,1.0,893850.0,86,17,185,0.19948599685341312,83.57142857142857,18.0,48,9
2133-026_Bar1,2133-026,75.54054054054055,7.745966692414835,817650.0,93,13,185,0.462456900061662,75.28571428571429,18.0,48,9
2133-020_PB2,2133-020,70.75675675675676,7.483314773547883,765450.0,89,17,185,0.7556339332500845,67.42857142857143,20.0,51,18
2133-012_PB2,2133-012,110.62162162162164,18.76166303929372,1200900.0,143,16,170,-0.8350283583847347,110.71428571428572,20.0,51,18
2133-033_Bar1,2133-033,89.94444444444444,13.2664991614216,945450.0,128,12,180,0.6699303046867326,84.71428571428571,18.0,48,9
2133-037_CF2,2133-037,78.83783783783784,24.59674775249769,856800.0,132,17,90,1.2209992688746447,65.42857142857143,2.5,54,11
2133-008_PB2,2133-008,83.08108108108108,11.704699910719626,897000.0,105,17,185,-0.2259026910012544,77.71428571428571,20.0,51,18
2133-019_PB1,2133-019,108.4054054054054,16.431676725154983,1167300.0,150,30,185,0.9871898835442678,136.85714285714286,20.0,51,18
2133-009_Bar1,2133-009,99.54054054054056,14.866068747318506,1075800.0,136,14,185,1.014440722901593,90.85714285714286,18.0,48,9
2133-001_PB2,2133-001,80.0,6.855654600401044,865200.0,95,18,185,0.6922602656376643,76.28571428571429,20.0,51,18
2133-010_PB2,2133-010,92.18918918918921,3.741657386773941,994200.0,101,36,185,0.2767145312328089,95.0,20.0,51,18
2133-024_PB2,2133-024,125.75862068965515,43.69210454990696,1045950.0,222,5,30,1.1195512190089971,123.71428571428572,20.0,51,18
2133-015_Bar1,2133-015,80.2162162162162,20.808652046684813,863850.0,104,5,140,-0.8117730929197873,54.42857142857143,18.0,48,9
2133-030_Bar1,2133-030,109.89189189189187,10.04987562112089,1190250.0,138,14,185,1.5083460921002714,102.0,18.0,48,9
2133-020_CF2,2133-020,88.5,17.691806012954128,451500.0,128,16,45,0.5351454013742212,90.28571428571428,2.5,54,11
2133-040_PB2,2133-040,79.10810810810811,4.898979485566356,854850.0,89,17,185,0.26899235377837905,82.71428571428571,20.0,51,18
2133-026_PB2,2133-026,76.16216216216216,11.445523142259598,826350.0,95,16,185,-0.31219224531785683,74.0,20.0,51,18
2133-033_PB2,2133-033,77.51351351351352,8.18535277187245,837300.0,97,13,185,0.5707652180821936,81.57142857142857,20.0,51,18
2133-015_Bar2,2133-015,144.03125,16.401219466856727,1345950.0,167,20,160,-0.12593229839393774,139.42857142857142,18.0,48,9
2133-025_Bar2,2133-025,96.86486486486488,21.166010488516726,1049850.0,142,16,185,1.2221592278297888,83.0,18.0,48,9
2133-041_CF1,2133-041,126.8,18.814887722226782,730650.0,155,10,95,-0.4875124111721065,118.28571428571428,2.5,54,11
2133-025_CF2,2133-025,103.37837837837836,29.58039891549808,1124850.0,154,18,135,0.6068862550281179,79.0,2.5,54,11
2133-021_CF1,2133-021,160.8108108108108,37.97367509209504,1744200.0,224,21,135,0.18277048700753887,161.71428571428572,2.5,54,11
2133-006_PB1,2133-006,69.62162162162164,9.433981132056603,750150.0,88,34,185,0.4742242423385947,84.42857142857143,20.0,51,18
2133-019_PB2,2133-019,127.54054054054056,7.211102550927977,1378500.0,141,13,185,-0.03811231842185035,121.42857142857143,20.0,51,18
2133-011_CF1,2133-011,95.67567567567568,8.54400374531753,1036050.0,117,12,185,1.2098073184013065,90.14285714285714,2.5,54,11
2133-001_Bar2,2133-001,100.41463414634147,12.409673645990855,1207950.0,120,26,205,0.06362348840149155,93.28571428571428,18.0,48,9
2133-032_CF1,2133-032,90.32432432432432,17.4928556845359,979050.0,126,16,185,0.8252223983414582,72.0,2.5,54,11
2133-022_Bar2,2133-022,92.4864864864865,14.071247279470287,1001850.0,125,12,185,1.1380924086275015,77.85714285714286,18.0,48,9
2133-036_PB1,2133-036,109.5945945945946,21.330729007701546,1181100.0,148,33,185,0.8298721832469445,145.57142857142858,20.0,51,18
2133-039_CF1,2133-039,123.45945945945944,28.861739379323627,1339800.0,180,18,145,0.7207493117708084,95.28571428571428,2.5,54,11
2133-011_PB2,2133-011,94.7837837837838,7.211102550927977,1023750.0,107,27,185,-0.09811732972143654,93.0,20.0,51,18
